State,District,Block,Date,Max_Temperature,Min_Temperature
Haryana,Sonipat,Gohana,1985-01-01,19.39775578,7.937875105
Haryana,Sonipat,Gohana,1985-01-02,14.77913743,5.211318829
Haryana,Sonipat,Gohana,1985-01-03,18.16168074,6.073500029
Haryana,Sonipat,Gohana,1985-01-04,19.10366249,7.076824949
Haryana,Sonipat,Gohana,1985-01-05,16.42348737,8.20127521
Haryana,Sonipat,Gohana,1985-01-06,17.15228758,6.192787506
Haryana,Sonipat,Gohana,1985-01-07,17.41865591,6.791824982
Haryana,Sonipat,Gohana,1985-01-08,17.07629381,6.799374851
Haryana,Sonipat,Gohana,1985-01-09,19.31006809,6.898787585
Haryana,Sonipat,Gohana,1985-01-10,19.46052476,5.321424919
Haryana,Sonipat,Gohana,1985-01-11,21.04208149,6.387487519
Haryana,Sonipat,Gohana,1985-01-12,20.40029366,5.616300176
Haryana,Sonipat,Gohana,1985-01-13,20.46424402,4.581506115
Haryana,Sonipat,Gohana,1985-01-14,20.76931889,4.399112342
Haryana,Sonipat,Gohana,1985-01-15,21.17473067,5.786906325
Haryana,Sonipat,Gohana,1985-01-16,20.56653762,4.811125039
Haryana,Sonipat,Gohana,1985-01-17,21.29672522,5.001243919
Haryana,Sonipat,Gohana,1985-01-18,21.14645633,6.453993699
Haryana,Sonipat,Gohana,1985-01-19,20.95494363,10.03298131
Haryana,Sonipat,Gohana,1985-01-20,20.49603083,6.096275049
Haryana,Sonipat,Gohana,1985-01-21,21.04865037,8.357512603
Haryana,Sonipat,Gohana,1985-01-22,19.13248071,6.641387473
Haryana,Sonipat,Gohana,1985-01-23,21.5605874,6.66506871
Haryana,Sonipat,Gohana,1985-01-24,21.71581244,5.672481132
Haryana,Sonipat,Gohana,1985-01-25,21.90572556,5.314274965
Haryana,Sonipat,Gohana,1985-01-26,23.09575048,7.426649999
Haryana,Sonipat,Gohana,1985-01-27,22.13247499,7.918131385
Haryana,Sonipat,Gohana,1985-01-28,22.36608057,6.714693682
Haryana,Sonipat,Gohana,1985-01-29,22.16786927,6.254550007
Haryana,Sonipat,Gohana,1985-01-30,22.94421228,6.453706378
Haryana,Sonipat,Gohana,1985-01-31,23.29001869,6.691374877
Haryana,Sonipat,Gohana,1985-02-01,23.43961883,5.91719369
Haryana,Sonipat,Gohana,1985-02-02,22.64344359,6.237687571
Haryana,Sonipat,Gohana,1985-02-03,22.67949983,7.00531261
Haryana,Sonipat,Gohana,1985-02-04,24.60209352,9.255612409
Haryana,Sonipat,Gohana,1985-02-05,23.76898108,9.49404967
Haryana,Sonipat,Gohana,1985-02-06,22.9582313,7.172137563
Haryana,Sonipat,Gohana,1985-02-07,22.84847499,6.46448756
Haryana,Sonipat,Gohana,1985-02-08,24.50843771,6.702887505
Haryana,Sonipat,Gohana,1985-02-09,25.81259361,7.475824957
Haryana,Sonipat,Gohana,1985-02-10,24.61567485,6.091624999
Haryana,Sonipat,Gohana,1985-02-11,23.98902545,5.476112501
Haryana,Sonipat,Gohana,1985-02-12,23.4624056,5.844450078
Haryana,Sonipat,Gohana,1985-02-13,24.26086215,5.063212325
Haryana,Sonipat,Gohana,1985-02-14,24.77585009,6.060581183
Haryana,Sonipat,Gohana,1985-02-15,24.76170674,7.021199991
Haryana,Sonipat,Gohana,1985-02-16,25.01788704,7.247581288
Haryana,Sonipat,Gohana,1985-02-17,25.63989963,7.404443709
Haryana,Sonipat,Gohana,1985-02-18,27.36294997,7.558274883
Haryana,Sonipat,Gohana,1985-02-19,28.77137517,9.212806226
Haryana,Sonipat,Gohana,1985-02-20,28.46540004,10.41281239
Haryana,Sonipat,Gohana,1985-02-21,26.01340558,8.329624783
Haryana,Sonipat,Gohana,1985-02-22,24.82981897,8.730456035
Haryana,Sonipat,Gohana,1985-02-23,25.81005006,7.887318692
Haryana,Sonipat,Gohana,1985-02-24,27.7922001,8.46736252
Haryana,Sonipat,Gohana,1985-02-25,29.40025661,9.184624705
Haryana,Sonipat,Gohana,1985-02-26,27.93451271,10.28575619
Haryana,Sonipat,Gohana,1985-02-27,29.48185643,10.95000624
Haryana,Sonipat,Gohana,1985-02-28,31.16431179,11.77129395
Haryana,Sonipat,Gohana,1985-03-01,31.32073735,12.08796861
Haryana,Sonipat,Gohana,1985-03-02,31.31914946,13.83401855
Haryana,Sonipat,Gohana,1985-03-03,31.63953191,13.68003721
Haryana,Sonipat,Gohana,1985-03-04,31.89643802,13.56016225
Haryana,Sonipat,Gohana,1985-03-05,33.46524996,14.20993748
Haryana,Sonipat,Gohana,1985-03-06,33.57669292,14.699425
Haryana,Sonipat,Gohana,1985-03-07,34.23638081,14.73811874
Haryana,Sonipat,Gohana,1985-03-08,32.91416193,13.34168129
Haryana,Sonipat,Gohana,1985-03-09,31.27996773,13.37323137
Haryana,Sonipat,Gohana,1985-03-10,32.35239263,14.03919393
Haryana,Sonipat,Gohana,1985-03-11,31.46203119,13.37553123
Haryana,Sonipat,Gohana,1985-03-12,32.82172447,15.83444984
Haryana,Sonipat,Gohana,1985-03-13,33.65175691,13.88246243
Haryana,Sonipat,Gohana,1985-03-14,31.24938026,12.74321856
Haryana,Sonipat,Gohana,1985-03-15,30.64666229,11.77510629
Haryana,Sonipat,Gohana,1985-03-16,31.56975016,13.47463106
Haryana,Sonipat,Gohana,1985-03-17,34.28231959,14.3140998
Haryana,Sonipat,Gohana,1985-03-18,33.36346834,16.94671234
Haryana,Sonipat,Gohana,1985-03-19,29.59070606,13.8431626
Haryana,Sonipat,Gohana,1985-03-20,30.06373738,13.80754987
Haryana,Sonipat,Gohana,1985-03-21,30.72170631,13.43971881
Haryana,Sonipat,Gohana,1985-03-22,33.15606854,14.83103765
Haryana,Sonipat,Gohana,1985-03-23,34.32297508,19.14498155
Haryana,Sonipat,Gohana,1985-03-24,31.85036929,19.22650029
Haryana,Sonipat,Gohana,1985-03-25,32.95950015,16.99723705
Haryana,Sonipat,Gohana,1985-03-26,34.10850668,17.45420631
Haryana,Sonipat,Gohana,1985-03-27,35.89944462,20.398894
Haryana,Sonipat,Gohana,1985-03-28,37.18347626,20.54954374
Haryana,Sonipat,Gohana,1985-03-29,36.16791284,19.34668738
Haryana,Sonipat,Gohana,1985-03-30,34.14326858,18.74891226
Haryana,Sonipat,Gohana,1985-03-31,32.94818091,15.95218748
Haryana,Sonipat,Gohana,1985-04-01,34.06799412,19.14029959
Haryana,Sonipat,Gohana,1985-04-02,35.34374354,19.62678136
Haryana,Sonipat,Gohana,1985-04-03,33.33825693,17.99892501
Haryana,Sonipat,Gohana,1985-04-04,29.51514404,16.15560635
Haryana,Sonipat,Gohana,1985-04-05,31.82565005,17.02697471
Haryana,Sonipat,Gohana,1985-04-06,33.61021136,18.54489991
Haryana,Sonipat,Gohana,1985-04-07,31.95179988,18.34419963
Haryana,Sonipat,Gohana,1985-04-08,34.34409493,19.55669349
Haryana,Sonipat,Gohana,1985-04-09,33.65998787,20.07412539
Haryana,Sonipat,Gohana,1985-04-10,32.28446178,16.70629379
Haryana,Sonipat,Gohana,1985-04-11,31.25143142,16.77329961
Haryana,Sonipat,Gohana,1985-04-12,33.16658153,17.6507002
Haryana,Sonipat,Gohana,1985-04-13,36.65149992,22.34683754
Haryana,Sonipat,Gohana,1985-04-14,34.69869407,18.51458086
Haryana,Sonipat,Gohana,1985-04-15,33.61036326,18.77688681
Haryana,Sonipat,Gohana,1985-04-16,34.26854896,18.00748714
Haryana,Sonipat,Gohana,1985-04-17,36.69372475,19.00369952
Haryana,Sonipat,Gohana,1985-04-18,38.13257473,20.50702518
Haryana,Sonipat,Gohana,1985-04-19,39.45408078,20.93286222
Haryana,Sonipat,Gohana,1985-04-20,39.99011284,21.78241211
Haryana,Sonipat,Gohana,1985-04-21,41.33580627,24.55205031
Haryana,Sonipat,Gohana,1985-04-22,40.64189993,22.95432449
Haryana,Sonipat,Gohana,1985-04-23,39.12880588,21.72416874
Haryana,Sonipat,Gohana,1985-04-24,39.46129941,22.02100592
Haryana,Sonipat,Gohana,1985-04-25,38.18000129,21.74084449
Haryana,Sonipat,Gohana,1985-04-26,38.14260619,21.12054389
Haryana,Sonipat,Gohana,1985-04-27,39.40095002,20.95130648
Haryana,Sonipat,Gohana,1985-04-28,40.25894888,23.60513104
Haryana,Sonipat,Gohana,1985-04-29,41.38393083,24.39628783
Haryana,Sonipat,Gohana,1985-04-30,41.75384331,24.11141293
Haryana,Sonipat,Gohana,1985-05-01,41.21414972,25.25313164
Haryana,Sonipat,Gohana,1985-05-02,39.97205135,23.64482497
Haryana,Sonipat,Gohana,1985-05-03,38.43398074,21.62652498
Haryana,Sonipat,Gohana,1985-05-04,38.7254994,22.75370626
Haryana,Sonipat,Gohana,1985-05-05,39.02309336,22.22524971
Haryana,Sonipat,Gohana,1985-05-06,39.58386837,22.16747539
Haryana,Sonipat,Gohana,1985-05-07,40.92411791,23.46179376
Haryana,Sonipat,Gohana,1985-05-08,42.08662574,25.70647526
Haryana,Sonipat,Gohana,1985-05-09,40.80574326,25.87318144
Haryana,Sonipat,Gohana,1985-05-10,40.59926155,24.97660623
Haryana,Sonipat,Gohana,1985-05-11,38.34449932,23.22155584
Haryana,Sonipat,Gohana,1985-05-12,38.86475665,22.91840655
Haryana,Sonipat,Gohana,1985-05-13,40.45728057,24.03182521
Haryana,Sonipat,Gohana,1985-05-14,41.68718097,22.58375592
Haryana,Sonipat,Gohana,1985-05-15,39.35081288,21.52603724
Haryana,Sonipat,Gohana,1985-05-16,40.0057133,21.05498739
Haryana,Sonipat,Gohana,1985-05-17,41.08640063,21.54270606
Haryana,Sonipat,Gohana,1985-05-18,42.14352629,22.75678733
Haryana,Sonipat,Gohana,1985-05-19,43.169094,23.68773798
Haryana,Sonipat,Gohana,1985-05-20,43.61428042,25.33390575
Haryana,Sonipat,Gohana,1985-05-21,43.8434742,25.92122508
Haryana,Sonipat,Gohana,1985-05-22,42.02711215,26.94838736
Haryana,Sonipat,Gohana,1985-05-23,40.21527415,26.19676907
Haryana,Sonipat,Gohana,1985-05-24,41.08611969,28.03653738
Haryana,Sonipat,Gohana,1985-05-25,41.77215137,24.00905038
Haryana,Sonipat,Gohana,1985-05-26,40.23514427,26.84229413
Haryana,Sonipat,Gohana,1985-05-27,42.26901307,26.59066229
Haryana,Sonipat,Gohana,1985-05-28,43.21518181,25.36343121
Haryana,Sonipat,Gohana,1985-05-29,43.34276171,26.94640618
