State,District,Block,Date,Max_Temperature,Min_Temperature
Punjab,Tarn Taran,Tarn Taran,1985-01-01,16.45031261,6.218187559
Punjab,Tarn Taran,Tarn Taran,1985-01-02,16.0562372,4.978375192
Punjab,Tarn Taran,Tarn Taran,1985-01-03,14.86469964,5.469562537
Punjab,Tarn Taran,Tarn Taran,1985-01-04,16.65816274,6.299137307
Punjab,Tarn Taran,Tarn Taran,1985-01-05,14.06312499,7.237812608
Punjab,Tarn Taran,Tarn Taran,1985-01-06,14.57198743,5.865137331
Punjab,Tarn Taran,Tarn Taran,1985-01-07,17.93897476,5.479887377
Punjab,Tarn Taran,Tarn Taran,1985-01-08,16.64711293,5.276587652
Punjab,Tarn Taran,Tarn Taran,1985-01-09,18.68702477,4.924849929
Punjab,Tarn Taran,Tarn Taran,1985-01-10,19.0644125,3.849737572
Punjab,Tarn Taran,Tarn Taran,1985-01-11,19.41856223,3.739162454
Punjab,Tarn Taran,Tarn Taran,1985-01-12,19.61644984,4.946725132
Punjab,Tarn Taran,Tarn Taran,1985-01-13,19.68287467,3.577437505
Punjab,Tarn Taran,Tarn Taran,1985-01-14,20.16792536,3.17433742
Punjab,Tarn Taran,Tarn Taran,1985-01-15,20.46000078,4.930274828
Punjab,Tarn Taran,Tarn Taran,1985-01-16,18.77661302,3.224462528
Punjab,Tarn Taran,Tarn Taran,1985-01-17,19.68177465,3.702512545
Punjab,Tarn Taran,Tarn Taran,1985-01-18,20.82367517,6.235437513
Punjab,Tarn Taran,Tarn Taran,1985-01-19,19.74466278,9.417224931
Punjab,Tarn Taran,Tarn Taran,1985-01-20,21.65583783,7.243774916
Punjab,Tarn Taran,Tarn Taran,1985-01-21,18.6585751,8.09727468
Punjab,Tarn Taran,Tarn Taran,1985-01-22,20.23418745,6.118162556
Punjab,Tarn Taran,Tarn Taran,1985-01-23,20.91062505,4.438412499
Punjab,Tarn Taran,Tarn Taran,1985-01-24,21.01738693,4.61867489
Punjab,Tarn Taran,Tarn Taran,1985-01-25,21.28579983,4.76676241
Punjab,Tarn Taran,Tarn Taran,1985-01-26,20.83407485,6.980437576
Punjab,Tarn Taran,Tarn Taran,1985-01-27,19.98832546,5.407562684
Punjab,Tarn Taran,Tarn Taran,1985-01-28,19.88854963,4.24677495
Punjab,Tarn Taran,Tarn Taran,1985-01-29,21.19895035,5.42317507
Punjab,Tarn Taran,Tarn Taran,1985-01-30,22.1069002,5.331874937
Punjab,Tarn Taran,Tarn Taran,1985-01-31,22.00148708,5.035199814
Punjab,Tarn Taran,Tarn Taran,1985-02-01,21.90446172,4.963487463
Punjab,Tarn Taran,Tarn Taran,1985-02-02,21.77942534,4.758562427
Punjab,Tarn Taran,Tarn Taran,1985-02-03,20.95033752,6.841937477
Punjab,Tarn Taran,Tarn Taran,1985-02-04,22.67464912,9.114775031
Punjab,Tarn Taran,Tarn Taran,1985-02-05,19.76427475,9.098487248
Punjab,Tarn Taran,Tarn Taran,1985-02-06,20.92803773,4.944049978
Punjab,Tarn Taran,Tarn Taran,1985-02-07,21.45062499,5.491162423
Punjab,Tarn Taran,Tarn Taran,1985-02-08,23.00612435,6.164287577
Punjab,Tarn Taran,Tarn Taran,1985-02-09,23.26223743,5.394437372
Punjab,Tarn Taran,Tarn Taran,1985-02-10,23.07678721,3.939700148
Punjab,Tarn Taran,Tarn Taran,1985-02-11,23.23475012,4.482712516
Punjab,Tarn Taran,Tarn Taran,1985-02-12,23.05702548,4.126699883
Punjab,Tarn Taran,Tarn Taran,1985-02-13,23.46807461,5.024462613
Punjab,Tarn Taran,Tarn Taran,1985-02-14,23.57848784,5.848649899
Punjab,Tarn Taran,Tarn Taran,1985-02-15,23.69166221,5.499962434
Punjab,Tarn Taran,Tarn Taran,1985-02-16,24.20579998,5.922049838
Punjab,Tarn Taran,Tarn Taran,1985-02-17,24.58251297,6.400925094
Punjab,Tarn Taran,Tarn Taran,1985-02-18,25.98730012,7.02457503
Punjab,Tarn Taran,Tarn Taran,1985-02-19,27.21317515,7.656187412
Punjab,Tarn Taran,Tarn Taran,1985-02-20,27.22614916,10.08422504
Punjab,Tarn Taran,Tarn Taran,1985-02-21,22.39712444,6.987012586
Punjab,Tarn Taran,Tarn Taran,1985-02-22,24.47113734,7.002012594
Punjab,Tarn Taran,Tarn Taran,1985-02-23,24.5902374,7.002624994
Punjab,Tarn Taran,Tarn Taran,1985-02-24,26.16203767,8.425812647
