State,District,Block,Date,Rainfall,Max_Temperature,Min_Temperature
Punjab,Tarn Taran,Tarn Taran,01-01-1985,0.0,16.45031261,6.218187559
Punjab,Tarn Taran,Tarn Taran,02-01-1985,0.0,16.0562372,4.978375192
Punjab,Tarn Taran,Tarn Taran,03-01-1985,0.0,14.86469964,5.469562537
Punjab,Tarn Taran,Tarn Taran,04-01-1985,0.0,16.65816274,6.299137307
Punjab,Tarn Taran,Tarn Taran,05-01-1985,0.0,14.06312499,7.237812608
Punjab,Tarn Taran,Tarn Taran,06-01-1985,0.0,14.57198743,5.865137331
Punjab,Tarn Taran,Tarn Taran,07-01-1985,0.0,17.93897476,5.479887377
Punjab,Tarn Taran,Tarn Taran,08-01-1985,0.0,16.64711293,5.276587652
Punjab,Tarn Taran,Tarn Taran,09-01-1985,0.0,18.68702477,4.924849929
Punjab,Tarn Taran,Tarn Taran,10-01-1985,0.0,19.0644125,3.849737572
Punjab,Tarn Taran,Tarn Taran,11-01-1985,0.0,19.41856223,3.739162454
Punjab,Tarn Taran,Tarn Taran,12-01-1985,0.0,19.61644984,4.946725132
Punjab,Tarn Taran,Tarn Taran,13-01-1985,0.0,19.68287467,3.577437505
Punjab,Tarn Taran,Tarn Taran,14-01-1985,0.0,20.16792536,3.17433742
Punjab,Tarn Taran,Tarn Taran,15-01-1985,0.0,20.46000078,4.930274828
Punjab,Tarn Taran,Tarn Taran,16-01-1985,0.0,18.77661302,3.224462528
Punjab,Tarn Taran,Tarn Taran,17-01-1985,0.0,19.68177465,3.702512545
Punjab,Tarn Taran,Tarn Taran,18-01-1985,0.0,20.82367517,6.235437513
Punjab,Tarn Taran,Tarn Taran,19-01-1985,0.0,19.74466278,9.417224931
Punjab,Tarn Taran,Tarn Taran,20-01-1985,0.0,21.65583783,7.243774916
Punjab,Tarn Taran,Tarn Taran,21-01-1985,0.01675683618,18.6585751,8.09727468
Punjab,Tarn Taran,Tarn Taran,22-01-1985,0.0,20.23418745,6.118162556
Punjab,Tarn Taran,Tarn Taran,23-01-1985,0.0,20.91062505,4.438412499
Punjab,Tarn Taran,Tarn Taran,24-01-1985,0.0,21.01738693,4.61867489
Punjab,Tarn Taran,Tarn Taran,25-01-1985,0.0,21.28579983,4.76676241
Punjab,Tarn Taran,Tarn Taran,26-01-1985,0.01675683618,20.83407485,6.980437576
Punjab,Tarn Taran,Tarn Taran,27-01-1985,0.4734654915,19.98832546,5.407562684
Punjab,Tarn Taran,Tarn Taran,28-01-1985,0.0,19.88854963,4.24677495
