State,District,Block,Date,Max_Temperature,Min_Temperature
Haryana,Jind,Safidon,1985-01-01,19.26793882,8.603663467
Haryana,Jind,Safidon,1985-01-02,14.66934376,5.40968455
Haryana,Jind,Safidon,1985-01-03,17.83150322,6.484405976
Haryana,Jind,Safidon,1985-01-04,19.04518571,7.217004887
Haryana,Jind,Safidon,1985-01-05,15.91142316,8.3857924
Haryana,Jind,Safidon,1985-01-06,17.14741346,6.268056985
Haryana,Jind,Safidon,1985-01-07,17.71509243,6.924579185
Haryana,Jind,Safidon,1985-01-08,16.53797697,7.067252334
Haryana,Jind,Safidon,1985-01-09,19.14532714,6.937240117
Haryana,Jind,Safidon,1985-01-10,18.99480165,4.855272119
Haryana,Jind,Safidon,1985-01-11,20.65608305,6.096967795
Haryana,Jind,Safidon,1985-01-12,20.14354544,5.584183314
Haryana,Jind,Safidon,1985-01-13,20.30443749,4.447518413
Haryana,Jind,Safidon,1985-01-14,20.67156577,4.510606237
Haryana,Jind,Safidon,1985-01-15,20.96358229,5.577295951
Haryana,Jind,Safidon,1985-01-16,19.90956685,4.749628719
Haryana,Jind,Safidon,1985-01-17,20.8643566,4.84763012
Haryana,Jind,Safidon,1985-01-18,21.06732046,6.363966552
Haryana,Jind,Safidon,1985-01-19,20.62953536,10.00392941
Haryana,Jind,Safidon,1985-01-20,20.93472132,6.184876265
Haryana,Jind,Safidon,1985-01-21,21.07064417,8.35563117
Haryana,Jind,Safidon,1985-01-22,19.10558721,6.702240042
Haryana,Jind,Safidon,1985-01-23,21.6232298,6.734560622
Haryana,Jind,Safidon,1985-01-24,21.62085399,5.683038233
Haryana,Jind,Safidon,1985-01-25,21.77163425,5.219084047
Haryana,Jind,Safidon,1985-01-26,22.91705503,7.443390982
Haryana,Jind,Safidon,1985-01-27,21.47685651,7.989672212
Haryana,Jind,Safidon,1985-01-28,21.95439909,6.49433773
Haryana,Jind,Safidon,1985-01-29,21.96822483,6.162871383
Haryana,Jind,Safidon,1985-01-30,22.93050717,6.425785993
Haryana,Jind,Safidon,1985-01-31,23.0353282,6.702747347
Haryana,Jind,Safidon,1985-02-01,23.31191253,5.660327919
Haryana,Jind,Safidon,1985-02-02,22.43530286,6.197116417
