State,District,Block,Date,Max_Temperature,Min_Temperature
Haryana,Sirsa,Sirsa,1985-01-01,18.24686876,6.388168366
Haryana,Sirsa,Sirsa,1985-01-02,16.40752464,3.057116344
Haryana,Sirsa,Sirsa,1985-01-03,16.98712842,4.957599007
Haryana,Sirsa,Sirsa,1985-01-04,18.40363893,6.412042067
Haryana,Sirsa,Sirsa,1985-01-05,15.49316841,7.44629951
Haryana,Sirsa,Sirsa,1985-01-06,18.39933206,5.84497534
Haryana,Sirsa,Sirsa,1985-01-07,18.1858912,6.488539653
Haryana,Sirsa,Sirsa,1985-01-08,16.4815221,5.70189346
Haryana,Sirsa,Sirsa,1985-01-09,18.70137378,5.283514725
Haryana,Sirsa,Sirsa,1985-01-10,19.47199268,4.070173195
Haryana,Sirsa,Sirsa,1985-01-11,20.36730246,4.638378674
Haryana,Sirsa,Sirsa,1985-01-12,20.05462893,4.224715418
Haryana,Sirsa,Sirsa,1985-01-13,20.95393588,3.085185704
Haryana,Sirsa,Sirsa,1985-01-14,21.42766095,3.268329137
Haryana,Sirsa,Sirsa,1985-01-15,21.89282177,5.510841757
Haryana,Sirsa,Sirsa,1985-01-16,20.8959778,3.781559373
Haryana,Sirsa,Sirsa,1985-01-17,21.53472762,3.991027233
Haryana,Sirsa,Sirsa,1985-01-18,22.59871301,6.660160733
Haryana,Sirsa,Sirsa,1985-01-19,22.2306062,10.33378698
Haryana,Sirsa,Sirsa,1985-01-20,22.09418344,6.694999826
Haryana,Sirsa,Sirsa,1985-01-21,21.72082961,9.54789579
Haryana,Sirsa,Sirsa,1985-01-22,20.10589113,6.115074286
Haryana,Sirsa,Sirsa,1985-01-23,21.51991386,5.482141187
Haryana,Sirsa,Sirsa,1985-01-24,21.73290852,4.700445635
Haryana,Sirsa,Sirsa,1985-01-25,22.30993816,4.669938143
Haryana,Sirsa,Sirsa,1985-01-26,23.37897259,7.244480336
Haryana,Sirsa,Sirsa,1985-01-27,22.39619968,6.603366514
Haryana,Sirsa,Sirsa,1985-01-28,21.68163319,5.550717811
Haryana,Sirsa,Sirsa,1985-01-29,21.89920816,5.254715202
Haryana,Sirsa,Sirsa,1985-01-30,23.1936132,5.213217713
Haryana,Sirsa,Sirsa,1985-01-31,23.2300122,5.42738872
Haryana,Sirsa,Sirsa,1985-02-01,23.2234782,4.907858947
Haryana,Sirsa,Sirsa,1985-02-02,23.08480264,5.283774756
Haryana,Sirsa,Sirsa,1985-02-03,23.80612679,7.336782275
Haryana,Sirsa,Sirsa,1985-02-04,25.45887401,10.41636137
Haryana,Sirsa,Sirsa,1985-02-05,23.91686872,9.560371286
Haryana,Sirsa,Sirsa,1985-02-06,22.71185647,5.752116376
Haryana,Sirsa,Sirsa,1985-02-07,23.2657803,5.611683018
Haryana,Sirsa,Sirsa,1985-02-08,25.51011198,6.570210426
Haryana,Sirsa,Sirsa,1985-02-09,25.85502529,6.833366342
Haryana,Sirsa,Sirsa,1985-02-10,24.82065529,4.995470434
Haryana,Sirsa,Sirsa,1985-02-11,24.23793387,4.529182999
Haryana,Sirsa,Sirsa,1985-02-12,23.99802027,4.71691829
Haryana,Sirsa,Sirsa,1985-02-13,24.99909675,4.614121459
Haryana,Sirsa,Sirsa,1985-02-14,25.52492556,5.860061866
Haryana,Sirsa,Sirsa,1985-02-15,25.53222765,5.815829141
Haryana,Sirsa,Sirsa,1985-02-16,25.84585447,6.348774604
Haryana,Sirsa,Sirsa,1985-02-17,26.43499955,6.688341684
Haryana,Sirsa,Sirsa,1985-02-18,28.26928258,7.207908453
Haryana,Sirsa,Sirsa,1985-02-19,29.11038307,8.718750119
Haryana,Sirsa,Sirsa,1985-02-20,28.45372444,10.35523505
Haryana,Sirsa,Sirsa,1985-02-21,24.35137298,7.47566848
Haryana,Sirsa,Sirsa,1985-02-22,25.37597732,7.929492586
Haryana,Sirsa,Sirsa,1985-02-23,26.29278479,7.152314348
Haryana,Sirsa,Sirsa,1985-02-24,28.60699279,8.710829005
Haryana,Sirsa,Sirsa,1985-02-25,29.38511147,9.123997176
Haryana,Sirsa,Sirsa,1985-02-26,28.06404682,9.130433267
Haryana,Sirsa,Sirsa,1985-02-27,29.14251223,9.939603586
Haryana,Sirsa,Sirsa,1985-02-28,32.17223951,12.39136158
Haryana,Sirsa,Sirsa,1985-03-01,31.06165872,11.51616339
Haryana,Sirsa,Sirsa,1985-03-02,32.02320529,13.3492945
Haryana,Sirsa,Sirsa,1985-03-03,32.16477684,13.23413385
Haryana,Sirsa,Sirsa,1985-03-04,32.36905913,13.04456686
Haryana,Sirsa,Sirsa,1985-03-05,33.70501074,14.14271072
Haryana,Sirsa,Sirsa,1985-03-06,33.58112601,15.0957795
Haryana,Sirsa,Sirsa,1985-03-07,33.57186764,13.8735149
Haryana,Sirsa,Sirsa,1985-03-08,32.47366219,12.58759919
Haryana,Sirsa,Sirsa,1985-03-09,31.33237561,13.50857663
Haryana,Sirsa,Sirsa,1985-03-10,32.22905826,13.75370071
Haryana,Sirsa,Sirsa,1985-03-11,30.97090268,12.98785899
Haryana,Sirsa,Sirsa,1985-03-12,33.00491283,15.0768563
Haryana,Sirsa,Sirsa,1985-03-13,32.59582934,12.38751237
Haryana,Sirsa,Sirsa,1985-03-14,31.44420818,11.46412102
Haryana,Sirsa,Sirsa,1985-03-15,30.49941783,10.17011116
Haryana,Sirsa,Sirsa,1985-03-16,31.92889808,14.44413371
Haryana,Sirsa,Sirsa,1985-03-17,33.07403415,13.77550735
Haryana,Sirsa,Sirsa,1985-03-18,33.24623735,16.02659662
Haryana,Sirsa,Sirsa,1985-03-19,28.72335448,13.856312
Haryana,Sirsa,Sirsa,1985-03-20,30.40534675,13.16254966
Haryana,Sirsa,Sirsa,1985-03-21,31.68491278,13.11443094
Haryana,Sirsa,Sirsa,1985-03-22,34.08287255,15.19572985
Haryana,Sirsa,Sirsa,1985-03-23,35.25446818,19.78773552
Haryana,Sirsa,Sirsa,1985-03-24,32.55924644,18.42798291
Haryana,Sirsa,Sirsa,1985-03-25,33.87423233,16.95608992
Haryana,Sirsa,Sirsa,1985-03-26,34.94818189,18.68709209
Haryana,Sirsa,Sirsa,1985-03-27,36.1774627,21.00398545
Haryana,Sirsa,Sirsa,1985-03-28,37.32199247,20.08459138
Haryana,Sirsa,Sirsa,1985-03-29,35.63350317,19.43325461
Haryana,Sirsa,Sirsa,1985-03-30,33.00816882,17.99832971
Haryana,Sirsa,Sirsa,1985-03-31,32.68879935,16.46985084
Haryana,Sirsa,Sirsa,1985-04-01,33.58941883,18.34019754
