State,District,Block,Date,Max_Temperature,Min_Temperature
Punjab,Gurdaspur,Batala,1985-01-01,14.96201871,5.713518781
Punjab,Gurdaspur,Batala,1985-01-02,14.67868128,4.487875151
Punjab,Gurdaspur,Batala,1985-01-03,13.68967473,4.82764995
Punjab,Gurdaspur,Batala,1985-01-04,15.17777535,5.602712415
Punjab,Gurdaspur,Batala,1985-01-05,12.80220619,6.540837612
Punjab,Gurdaspur,Batala,1985-01-06,12.73399988,5.29094988
Punjab,Gurdaspur,Batala,1985-01-07,16.48753764,4.787174927
Punjab,Gurdaspur,Batala,1985-01-08,15.02454401,4.742481365
Punjab,Gurdaspur,Batala,1985-01-09,17.31331257,4.432049907
Punjab,Gurdaspur,Batala,1985-01-10,17.79218136,3.494193816
Punjab,Gurdaspur,Batala,1985-01-11,17.99301218,3.266599986
Punjab,Gurdaspur,Batala,1985-01-12,18.21596842,4.54495002
Punjab,Gurdaspur,Batala,1985-01-13,17.99284373,3.043949983
Punjab,Gurdaspur,Batala,1985-01-14,18.6235315,2.701006185
Punjab,Gurdaspur,Batala,1985-01-15,18.88005683,4.176506171
Punjab,Gurdaspur,Batala,1985-01-16,17.0468631,2.537137514
Punjab,Gurdaspur,Batala,1985-01-17,17.98531838,3.225687487
Punjab,Gurdaspur,Batala,1985-01-18,19.18763098,5.550725108
Punjab,Gurdaspur,Batala,1985-01-19,18.01023124,8.495600156
Punjab,Gurdaspur,Batala,1985-01-20,19.9564436,6.568924931
Punjab,Gurdaspur,Batala,1985-01-21,16.89861279,7.139924906
Punjab,Gurdaspur,Batala,1985-01-22,18.52381864,5.373450108
Punjab,Gurdaspur,Batala,1985-01-23,19.56621223,3.801875064
Punjab,Gurdaspur,Batala,1985-01-24,19.74087473,3.925812354
Punjab,Gurdaspur,Batala,1985-01-25,20.04357514,4.228468772
Punjab,Gurdaspur,Batala,1985-01-26,19.03838764,6.026162602
Punjab,Gurdaspur,Batala,1985-01-27,18.07356284,4.684587661
Punjab,Gurdaspur,Batala,1985-01-28,18.39072468,3.523212545
Punjab,Gurdaspur,Batala,1985-01-29,19.9295065,4.795956228
Punjab,Gurdaspur,Batala,1985-01-30,20.7461253,4.722818837
Punjab,Gurdaspur,Batala,1985-01-31,20.7421245,4.472137342
Punjab,Gurdaspur,Batala,1985-02-01,20.70966821,4.329312538
Punjab,Gurdaspur,Batala,1985-02-02,20.51310657,4.119787558
Punjab,Gurdaspur,Batala,1985-02-03,19.27123138,5.955968663
Punjab,Gurdaspur,Batala,1985-02-04,21.17734924,7.938049834
Punjab,Gurdaspur,Batala,1985-02-05,18.20318733,8.221037313
Punjab,Gurdaspur,Batala,1985-02-06,19.28462561,4.030062537
Punjab,Gurdaspur,Batala,1985-02-07,19.95565648,4.698206185
Punjab,Gurdaspur,Batala,1985-02-08,21.42124316,5.413256337
Punjab,Gurdaspur,Batala,1985-02-09,21.79980648,4.765624877
Punjab,Gurdaspur,Batala,1985-02-10,21.6137067,3.472293908
Punjab,Gurdaspur,Batala,1985-02-11,21.85934358,3.991374968
Punjab,Gurdaspur,Batala,1985-02-12,21.72935035,3.557668646
Punjab,Gurdaspur,Batala,1985-02-13,22.07624352,4.348450013
Punjab,Gurdaspur,Batala,1985-02-14,21.99136875,5.03708121
Punjab,Gurdaspur,Batala,1985-02-15,22.26478766,4.799431282
Punjab,Gurdaspur,Batala,1985-02-16,22.72254403,5.05844364
Punjab,Gurdaspur,Batala,1985-02-17,23.00576283,5.525737651
Punjab,Gurdaspur,Batala,1985-02-18,24.34980614,6.204431215
Punjab,Gurdaspur,Batala,1985-02-19,25.56314373,6.748924905
Punjab,Gurdaspur,Batala,1985-02-20,25.69273694,9.122849792
Punjab,Gurdaspur,Batala,1985-02-21,20.54799972,6.066974979
Punjab,Gurdaspur,Batala,1985-02-22,22.85778736,6.219393811
Punjab,Gurdaspur,Batala,1985-02-23,23.10097509,6.376562451
Punjab,Gurdaspur,Batala,1985-02-24,24.72452555,7.712831484
Punjab,Gurdaspur,Batala,1985-02-25,25.10623123,7.603525144
Punjab,Gurdaspur,Batala,1985-02-26,25.57807521,6.983518864
Punjab,Gurdaspur,Batala,1985-02-27,25.21233113,8.221756347
Punjab,Gurdaspur,Batala,1985-02-28,28.03875697,10.46132479
Punjab,Gurdaspur,Batala,1985-03-01,27.53233136,9.916112527
Punjab,Gurdaspur,Batala,1985-03-02,28.3845938,10.95052496
Punjab,Gurdaspur,Batala,1985-03-03,28.6675749,10.79204342
Punjab,Gurdaspur,Batala,1985-03-04,28.98684977,10.8072876
Punjab,Gurdaspur,Batala,1985-03-05,29.27537465,12.82477468
Punjab,Gurdaspur,Batala,1985-03-06,29.40281886,13.56845645
Punjab,Gurdaspur,Batala,1985-03-07,29.58065635,11.13772504
Punjab,Gurdaspur,Batala,1985-03-08,28.17471251,10.49868723
Punjab,Gurdaspur,Batala,1985-03-09,26.63764346,12.15054989
Punjab,Gurdaspur,Batala,1985-03-10,28.33882475,10.73526871
Punjab,Gurdaspur,Batala,1985-03-11,28.57461902,9.731024896
Punjab,Gurdaspur,Batala,1985-03-12,28.80421226,12.36143141
Punjab,Gurdaspur,Batala,1985-03-13,28.25330597,9.639619029
Punjab,Gurdaspur,Batala,1985-03-14,28.1875498,8.232574886
Punjab,Gurdaspur,Batala,1985-03-15,27.31876302,8.59817501
Punjab,Gurdaspur,Batala,1985-03-16,27.79766924,12.78499993
Punjab,Gurdaspur,Batala,1985-03-17,29.07372494,12.35299366
Punjab,Gurdaspur,Batala,1985-03-18,28.82953092,12.67718163
Punjab,Gurdaspur,Batala,1985-03-19,24.71196862,11.03921256
Punjab,Gurdaspur,Batala,1985-03-20,26.70063716,10.15070656
Punjab,Gurdaspur,Batala,1985-03-21,27.58045039,10.80801262
Punjab,Gurdaspur,Batala,1985-03-22,29.66541941,12.54793131
Punjab,Gurdaspur,Batala,1985-03-23,29.76865567,15.40248131
Punjab,Gurdaspur,Batala,1985-03-24,28.8073561,14.23744983
Punjab,Gurdaspur,Batala,1985-03-25,28.50624366,13.01571235
Punjab,Gurdaspur,Batala,1985-03-26,30.39554294,15.39154942
Punjab,Gurdaspur,Batala,1985-03-27,29.79403682,17.29445661
Punjab,Gurdaspur,Batala,1985-03-28,32.55554438,16.0431621
Punjab,Gurdaspur,Batala,1985-03-29,30.49229387,16.10346878
Punjab,Gurdaspur,Batala,1985-03-30,27.03866868,14.26492535
Punjab,Gurdaspur,Batala,1985-03-31,28.0551442,13.44081865
Punjab,Gurdaspur,Batala,1985-04-01,30.06582474,15.06481284
Punjab,Gurdaspur,Batala,1985-04-02,31.1143448,15.56273737
Punjab,Gurdaspur,Batala,1985-04-03,29.79996223,15.08848126
Punjab,Gurdaspur,Batala,1985-04-04,26.37238732,14.18044962
Punjab,Gurdaspur,Batala,1985-04-05,27.36094411,14.05693106
Punjab,Gurdaspur,Batala,1985-04-06,29.72754354,16.08257459
Punjab,Gurdaspur,Batala,1985-04-07,27.71235608,14.51588726
Punjab,Gurdaspur,Batala,1985-04-08,30.25224343,16.03083786
Punjab,Gurdaspur,Batala,1985-04-09,30.1194311,15.02380654
Punjab,Gurdaspur,Batala,1985-04-10,24.34681884,12.37633752
Punjab,Gurdaspur,Batala,1985-04-11,27.20053759,12.95305035
Punjab,Gurdaspur,Batala,1985-04-12,30.22823163,15.81961241
Punjab,Gurdaspur,Batala,1985-04-13,29.8015816,17.52263164
Punjab,Gurdaspur,Batala,1985-04-14,28.44781183,14.26397513
Punjab,Gurdaspur,Batala,1985-04-15,30.3487003,15.1351562
Punjab,Gurdaspur,Batala,1985-04-16,31.52503215,15.46479401
Punjab,Gurdaspur,Batala,1985-04-17,33.60002547,16.17276276
